DATE,ND000334Q
1/1/02,3263.869
4/1/02,3362.508
7/1/02,3401.82
10/1/02,3460.159
1/1/03,3340.163
4/1/03,3429.079
7/1/03,3498.914
10/1/03,3597.364
1/1/04,3484.837
4/1/04,3575.515
7/1/04,3617.667
10/1/04,3721.678
1/1/05,3603.67
4/1/05,3701.582
7/1/05,3767.844
10/1/05,3828.173
1/1/06,3729.338
4/1/06,3836.061
7/1/06,3833.693
10/1/06,3916.851
1/1/07,3785.119
4/1/07,3896.72
7/1/07,3926.744
10/1/07,4015.289
1/1/08,3902.77
4/1/08,3934.652
7/1/08,3910.393
10/1/08,3895.147
1/1/09,3703.443
4/1/09,3782.545
7/1/09,3823.607
10/1/09,3926.667
1/1/10,3776.48
4/1/10,3900.64
7/1/10,3945.123
10/1/10,4026.748
1/1/11,3871.183
4/1/11,3957.95
7/1/11,3983.907
10/1/11,4078.494
1/1/12,3986.349
4/1/12,4046.533
7/1/12,4083.025
10/1/12,4138.064
1/1/13,4017.571
4/1/13,4104.203
7/1/13,4170.71
10/1/13,4260.864
1/1/14,4079.517
4/1/14,4194.264
7/1/14,4287.261
10/1/14,4371.009
1/1/15,4212.523
4/1/15,4343.294
7/1/15,4389.955
10/1/15,4444.522
1/1/16,4288.31
4/1/16,4407.286
7/1/16,4449.603
10/1/16,4535.075
1/1/17,4339.869
4/1/17,4512.677
7/1/17,4559.849
10/1/17,4666.689
1/1/18,4499.676
4/1/18,4646.954
7/1/18,4689.736
10/1/18,4770.421
1/1/19,4584.716
4/1/19,4750.325
7/1/19,4796.775
10/1/19,4900.857
1/1/20,4615.632
4/1/20,4302.01
7/1/20,4660.359
10/1/20,4806.686
1/1/21,4631.328
4/1/21,4842.207
7/1/21,4877.408